fips,T001_001,T002_002,T002_003,T004_002,T004_003,T007A004,T007A005,T007A006,T007A009,T012_001,T012_002,T013_002,T013_003,T013_005,T014_010,T017_001,T017_002,T017_006,T017_009,T151_001,T151_002,T151_003,T152_001,T152_002,T152_003,T030_001,T030_002,T033_001,T033_002,T033_006,T033_007,T034_001,T034_002,T034_006,T034_007,T056A001,T056A004,T056A008,T056A012,T057_001,T095_001,T095_003,T117_001,T117_005,T117_007,T134_001,T134_002,T134_003,T134_004,T134_005,T145_001,T145_002,year
02290,5637,.038740989,145504.789402885,3053,2584,1258,1536,2088,4248,35.599998,35.900002,1235,6,22,70,2061,1217,328,271,1952,390,1562,1597,291,1306,348,20,4260,2650,597,1610,2350,1471,442,879,2061,622,1093,1595,35559,4032,1971,5612,786,2839,59,7,11,25,16,5626,2225,2012
04001,71618,6.3958802,11197.5203468124,35672,35946,18368,22599,30074,55408,32.099998,30.799999,17177,207,251,4286,19035,13121,3947,2945,20364,5371,14993,21180,5275,15905,5901,428,52010,23559,4608,28451,25752,11639,2680,14113,19035,6803,11385,16015,31615,32548,13513,70257,11859,26840,1184,34,199,367,584,70791,19552,2012
04003,131118,21.265751,6165.6903182563,66837,64281,24682,29943,42313,90856,39.900002,37.799999,105267,5164,2286,42595,49220,32925,5765,8422,44324,6447,37877,44481,6607,37874,7330,534,104486,56223,4776,48263,53157,30109,2674,23048,49220,10163,21584,35514,45505,59160,9940,123110,14737,76701,15595,371,3843,2945,8436,121324,15377,2012
04005,134011,7.1975851,18618.8844241749,66429,67582,25903,31517,55879,106703,30.9,30.5,83919,1774,1955,18106,45718,29346,5963,8001,38572,5097,33475,39560,4985,34575,11681,790,106375,70960,5960,35415,52171,36708,3368,15463,45718,9396,19200,31664,48320,63270,17552,126590,13182,74188,7134,290,2296,1985,2563,133450,28283,2012
04007,53436,11.23093,4757.93287690908,26751,26685,9301,11383,15071,32193,47.799999,47.200001,42288,238,140,9612,20245,12888,1995,3823,18688,2937,15751,19677,2802,16875,2460,412,43338,20234,1859,23104,21535,10836,1171,10699,20245,4947,10591,16454,38504,32644,12399,52496,6334,29319,1960,48,655,343,914,52593,9226,2012
04009,37115,8.0290375,4622.59700971588,19936,17179,8721,10414,14934,29153,31.799999,31.9,27973,776,176,11365,10944,7976,1695,1382,12192,2062,10130,9989,1407,8582,2424,266,27745,14039,1604,13706,15188,7780,925,7408,10944,2541,4993,8279,44421,13003,2059,33268,4810,18471,1810,1,517,632,660,33670,5635,2012
04011,8592,4.6616459,1843.12590791926,4505,4087,2086,2506,3245,6603,33.700001,33.799999,7410,84,51,4080,3371,2488,465,290,2765,330,2435,2582,439,2143,441,20,6346,3789,408,2557,3279,2345,225,934,3371,675,1240,2659,49692,4345,974,8458,1239,4725,386,55,140,90,101,8555,1333,2012
04012,20460,4.5470419,4499.62866854982,10332,10128,2941,3559,4589,10475,54.099998,54.900002,14643,181,135,4870,10497,6506,1157,1708,8073,2366,5707,7798,1755,6043,488,32,17241,7385,636,9856,8816,3973,435,4843,10497,2665,5778,9101,35093,16039,5542,20238,3450,9521,2650,6,691,630,1323,20245,3263,2012
04013,3841819,417.58249,9200.1433458379,1901825,1939994,844491,1009765,1390421,2970866,34.599998,33.5,3114615,192883,133497,1136308,1402149,922294,172952,246013,1189561,170284,1019277,1261837,169169,1092668,218341,14781,2942044,1914675,171229,1027369,1443172,1037114,97987,406058,1402149,221828,509448,908064,54385,1636502,234353,3791843,365733,2476319,579136,14525,185809,176435,202367,3811852,657295,2012
04015,201216,15.11642,13311.0843262594,101109,100107,34136,41445,55352,122525,47.400002,46.599998,179349,2019,2066,30016,80355,52562,7941,13872,72534,12394,60140,73330,11401,61929,9352,1326,164965,81278,11525,83687,82144,42200,6531,39944,80355,18604,40856,65574,39383,110603,30248,194383,26814,110071,13475,171,2424,3587,7293,195372,32700,2012
04017,107415,10.79502,9950.42173786133,53736,53679,26175,31878,42181,80057,34.799999,33.599998,52280,916,530,11549,34867,25384,6256,4669,32231,6246,25985,33003,6669,26334,7091,808,79275,41283,7046,37992,39496,21436,3936,18060,34867,9643,18186,27931,37683,56910,22043,104688,15968,49117,3242,54,1139,781,1268,105359,19043,2012
04019,981048,106.7861,9187.035294372021,482244,498804,185686,224391,331451,705491,37.700001,36.200001,778258,35850,26302,339278,382814,237405,47912,76582,312921,40727,272194,336676,43663,293013,57738,3539,783593,471912,46984,311681,381299,248757,26584,132542,382814,78708,168505,272021,46443,441175,58361,955948,104379,582059,126681,3616,37513,27730,57822,962885,141353,2012
04021,368374,68.654617,5365.61168932057,193667,174707,82190,95944,125178,272802,35.799999,35.400002,284721,16664,6126,106207,122746,88841,13959,17467,127867,22857,105010,115329,15479,99850,17818,1603,281615,148888,17028,132727,149291,82070,9506,67221,122746,19427,47853,88892,50164,158891,36145,342233,37056,213193,37070,3115,9419,9559,14977,344159,51805,2012
04023,47057,38.0438,1236.91638416858,22375,24682,11672,14356,18535,35211,35.5,33.200001,34441,262,272,38905,13918,10504,2287,1787,12979,3095,9884,15543,4835,10708,3201,123,34395,19786,2773,14609,15849,10469,1285,5380,13918,3865,7319,10650,37692,17961,4043,46724,6728,22414,15839,274,3159,3409,8997,46871,10078,2012
04025,211280,26.008499,8123.49922239022,103607,107673,32889,40102,55003,123460,49.299999,48,193691,1182,1612,28767,91168,56980,8303,18214,74837,7436,67401,81440,7900,73540,9644,932,176198,93610,9564,82588,85448,48903,5363,36545,91168,18044,41621,69060,43652,110317,19149,208316,21720,131129,14523,269,4351,3344,6559,209430,34235,2012
04027,196420,35.622101,5513.9923489993,98901,97519,45177,54849,76798,146382,33.599998,32.200001,149922,4084,2199,117002,70111,54709,10316,7455,58824,16920,41904,60798,17181,43617,12874,1143,147989,81798,10132,66191,74410,45567,4784,28843,70111,14802,34111,55593,41156,88064,17953,188472,30180,93834,48134,1211,10907,12627,23389,187850,39645,2012
05001,19029,19.245119,988.769986579088,9166,9863,3630,4408,5867,13180,41.5,40.400002,13791,4656,123,512,7997,5201,1054,1466,6220,1051,5169,6942,1260,5682,1001,41,15106,9543,693,5563,7135,4958,314,2177,7997,1877,4007,6231,39883,9462,1465,18604,2496,10747,430,67,261,53,49,18715,2527,2012
05003,21811,23.57058,925.348608564982,10561,11250,4396,5336,7072,15372,39.5,38.5,15143,5613,28,1067,8774,6232,1249,1401,7007,1307,5700,7732,1231,6501,1165,100,17076,9780,957,7296,8209,5378,609,2831,8774,2478,4550,7030,38069,10181,1407,21549,3484,11670,408,0,132,120,156,21581,3199,2012
05005,41387,74.667557,554.283488572148,19893,21494,6108,7444,9950,23104,50.799999,49.799999,40189,123,204,712,18137,12049,1489,3493,14854,1835,13019,16583,2302,14281,1691,104,34844,16505,1581,18339,16496,7986,950,8510,18137,4828,10293,15474,35209,22516,4379,40588,5694,22922,741,13,109,82,537,40828,5770,2012
05007,222028,262.02411,847.357007059492,109694,112334,52400,61565,80240,172668,34.5,33.599998,191672,2557,6353,34339,81380,59730,7920,11830,68701,10422,58279,73087,9892,63195,11232,546,166398,108034,5648,58364,80988,58932,3689,22056,81380,11823,29790,55052,53515,92947,11567,218820,22635,147403,23631,1909,7231,8213,6278,220347,35012,2012
05009,37032,62.741489,590.231392577881,18140,18892,7047,8540,11412,25358,41.400002,40.5,35767,114,193,720,14748,10366,1455,2562,12350,2231,10119,13270,1515,11755,1909,178,29500,16882,1392,12618,14241,8985,887,5256,14748,3349,7679,11787,38364,16814,2066,36468,4218,21594,476,6,261,54,155,36577,6275,2012
05011,11510,17.72867,649.230967865488,5576,5934,2330,2716,3747,8066,40.200001,38.700001,7005,3193,0,1528,4920,3303,688,856,3690,1078,2612,4073,903,3170,489,53,9022,5027,373,3995,4315,2669,242,1646,4920,1419,2782,4025,32321,5865,945,11343,1990,5396,727,32,310,174,211,11327,2293,2012
05013,5373,8.5478249,628.580963309483,2788,2585,864,1099,1562,3662,42.400002,37.5,3972,1307,0,45,2084,1386,249,411,1841,391,1450,1970,413,1557,290,0,4477,2484,197,1993,2300,1356,90,944,2084,616,1229,1729,31425,2909,825,5277,1311,2524,2,0,0,0,2,5318,933,2012
05015,27321,43.360691,630.086872989373,13400,13921,5089,6106,8118,17878,44.200001,42.5,25062,46,102,3547,11316,7656,970,2034,9249,1865,7384,9954,1750,8204,1353,195,21969,13008,1073,8961,10743,7098,577,3645,11316,2840,6321,9305,35558,13507,2191,26883,3931,14231,1835,81,194,867,693,27111,5077,2012
05017,11759,18.2507,644.30418055991,5752,6007,2272,2736,3692,8045,42.5,41.299999,4875,6404,24,557,4707,3109,953,896,3849,1111,2738,4218,1104,3114,576,81,9321,4379,516,4942,4535,2189,253,2346,4707,1928,3101,4025,25188,5445,738,10951,1935,4355,318,0,142,102,74,10969,1965,2012
05019,23050,26.614349,866.074252081477,10989,12061,3715,4501,9621,17065,33.599998,32.099998,16982,5494,135,928,8144,5286,1152,1640,6209,922,5287,7220,1071,6149,2315,70,19150,10915,1258,8235,9002,5485,716,3517,8144,2571,4718,6305,32393,10402,2258,20196,2186,10787,463,26,251,67,119,22573,3339,2012
05021,15981,24.991211,639.4649179841761,7827,8154,2843,3514,4733,10561,42.900002,41.599998,15623,38,7,223,6848,4489,700,1361,5384,1439,3945,5864,1191,4673,798,112,12877,7305,967,5572,6246,4011,478,2235,6848,2184,4035,5917,32695,8057,1209,15866,2337,8303,102,0,24,24,54,15868,2971,2012
05023,25849,46.684799,553.692066526949,12727,13122,4202,5095,6868,16040,46.400002,45.5,25198,102,19,536,10431,7294,882,1736,9206,1575,7631,9775,1555,8220,1263,62,21491,10882,1133,10609,10542,5816,548,4726,10431,2584,5287,8240,39410,15765,5334,25393,2971,14762,485,0,134,119,232,25422,4705,2012
05025,8685,14.52867,597.7834769890831,4295,4390,1803,2164,2826,6109,40.200001,39.099998,7469,1043,0,147,3310,2387,465,417,2828,424,2404,3031,449,2582,511,2,6766,3676,434,3090,3305,1969,188,1336,3310,847,1759,2584,38060,4054,744,8618,805,5323,30,0,5,1,24,8625,1233,2012
05027,24644,32.17012,766.052562405695,11782,12862,4509,5543,9280,17873,36.099998,34.299999,14864,9072,206,551,9498,6448,1658,1695,7046,1086,5960,8318,1298,7020,1974,119,19826,10883,1360,8943,9305,5527,859,3778,9498,2769,5222,7491,34895,11617,2119,23151,2911,12103,688,70,398,104,116,24267,3890,2012
05029,21203,38.393871,552.2496135117231,10450,10753,4205,5085,6906,14880,40.400002,39.400002,18103,2490,36,771,8231,5574,1065,1376,6980,1342,5638,7317,1089,6228,1164,38,16787,9345,854,7442,8322,5062,506,3260,8231,2593,4644,6547,32625,9703,1472,20932,2590,11145,400,14,284,40,62,20926,3276,2012
05031,96709,136.74789,707.206390145437,47118,49591,20325,24096,36269,74778,33.099998,31.6,80792,12750,1215,4270,37357,25322,5610,6782,28549,4616,23933,31891,4636,27255,6291,355,75440,47975,4192,27465,36070,25033,2050,11037,37357,9243,18185,28167,41054,40699,3342,92886,9594,53660,3178,305,1339,908,626,95772,16349,2012
